Orgnummer; Name; Phone; Form; Bundet; BindningsTid
"FOCUS TRAVEL, AB";"5562694066";" 0707562650";"Jobbmobil Multi 10 GB MFAOsub";"Ja";"20221019"
"FREIJS VÅGSERVICE, AB";"5561742726";" 0705406500";"Jobbmobil Multi 30 GB MFA";"Nej";" "
"JOHANNES GRUPPEN, AB";"5565582698";" 0762364200";"Telia Jobbmobil Multi 30 GB";"Ja";"20220108"
"LDH I BORÅS, AB";"5560607714";" 0709152380";"Jobbmobil 5 GB MFA";"Ja";"20220622"
"LDH I BORÅS, AB";"5560607714";" 0709152380";"Jobbmobil 5 GB MFA";"Ja";"20220622"
"MARIE ANDERSSON FYSIO & REHAB, AB";"5591011043";" 0733167374";"Jobbmobil Obegränsad Osub";"Ja";"20211203"
"MILSTENEN UTVECKLING, AB";"5565434551";" 0705385222";"Jobbmobil Multi 1 GB MFA Osub";"Ja";"20211228"
"MILSTENEN UTVECKLING, AB";"5565434551";" 0705385222";"Jobbmobil Multi 1 GB MFA Osub";"Ja";"20211228"
"PERFORMANCE PARTNER AGG, AB";"5591507446";" 0722435029";"Jobbmobil Multi 30 GB MFA";"Ja";"20220308"
"PERFORMANCE PARTNER AGG, AB";"5591507446";" 0766016664";"Jobbmobil Multi 30 GB MFA";"Ja";"20220925"
"PLAST REK, AB";"5590505359";" 0722274450";"Jobbmobil Multi 10 GB MFA";"Nej";" "
"PLAST REK, AB";"5590505359";" 0722227461";"Jobbmobil Multi 10 GB MFAOsub";"Ja";"20210207"
"R.A. BETONGSERVICE, AB";"5591595201";" 0706029930";"Jobbmobil Multi 30 GB MFA";"Ja";"20221204"
"R.A. BETONGSERVICE, AB";"5591595201";" 0706841331";"Jobbmobil Multi 30 GB MFA";"Ja";"20210830"
"SVEASONS FÄLG & DÄCK, AB";"5568793060";" 0705565004";"Jobbmobil Multi 30 GB MFA";"Ja";"20220617"
"SVEASONS FÄLG & DÄCK, AB";"5568793060";" 0704970020";"Jobbmobil Bas MFA";"Ja";"20220317"
"SVEN GRUNDSTRÖMS, AB";"5562032671";" 0705688283";"Jobbmobil Multi 2 GB MFA";"Ja";"20220127"
"SVEN GRUNDSTRÖMS, AB";"5562032671";" 0705688295";"Jobbmobil Multi 2 GB MFA";"Ja";"20211021"
"SVEN GRUNDSTRÖMS, AB";"5562032671";" 0705688283";"Jobbmobil Multi 2 GB MFA";"Ja";"20220127"
"WEBIT DESIGN I KALMAR, AB";"5590894092";" 0733730088";"Jobbmobil Multi 10 GB MFA";"Ja";"20220430"
"WEBIT DESIGN I KALMAR, AB";"5590894092";" 0737318029";"Extrakort Fast";"Nej";" "
"WRAMNER ORGANISATIONSUTVECKLING, AB";"5563944767";" 0706475058";"Jobbmobil Multi 5 GB TFA";"Nej";" "
"WRAMNER ORGANISATIONSUTVECKLING, AB";"5563944767";" 0706475058";"Jobbmobil Multi 5 GB TFA";"Nej";" "
"AH-TJÄNST, AB";"5567249718";" 0706400195";"Jobbmobil Multi 20 GB TFA";"Ja";"20210522"
"AUTOPARTNER NORDIC, AB";"5567641930";" 0706404320";"Jobbmobil Multi 30 GB MFA Osub";"Ja";"20220602"
"AUTOPARTNER NORDIC, AB";"5567641930";" 0706404328";"Jobbmobil Multi 30 GB MFA Osub";"Ja";"20220531"
"BJÖRKEBO CAMPING, AB";"5590214937";" 0727093403";"Jobbmobil Multi 2 GB Osub";"Nej";" "
"DR WALLINDER, AB";"5591679468";" 0733780800";"Jobbmobil 15 GB";"Ja";"20221110"
"FRISK LYCKLIG & FÖRMÖGEN, AB";"5590596226";" 0705839853";"Jobbmobil Obegränsad Osub";"Ja";"20221130"
"HÄSTERYD FIBER, AB";"5561848150";" 0706668609";"Jobbmobil 1 GB MFA";"Ja";"20220921"
"KNUFF SJÖENTREPRENAD, AB";"5565407896";" 0706618111";"Jobbmobil Multi 30 GB MFA";"Ja";"20220127"
"KRAFMAN, AB";"5562749894";" 0702188899";"Jobbmobil Basic TFA";"Nej";" "
"SETRACO, AB";"5566011218";" 0705406519";"Jobbmobil Multi 30 GB MFA Osub";"Ja";"20211031"
"SETRACO, AB";"5566011218";" 0705406529";"Jobbmobil Multi 30 GB MFA Osub";"Ja";"20211031"
"SETRACO, AB";"5566011218";" 0705406519";"Jobbmobil Multi 30 GB MFA Osub";"Ja";"20211031"
"STENSON COACHING, AB";"5590860929";" 0703817023";"Jobbmobil Obegränsad";"Ja";"20221119"
"TOMAS SERHOLT, AB";"5590616313";" 0732563797";"Telia Jobbmobil Multi 10 GB";"Ja";"20210212"
"VINTHI ENTREPRENAD, AB";"5568959752";" 0705977117";"Jobbmobil Obegränsad MFA";"Ja";"20220619"
"VINTHI ENTREPRENAD, AB";"5568959752";" 0705977567";"Jobbmobil 15 GB MFA";"Ja";"20220619"
"ACCTEC, AB";"5562323112";" 0738209988";"Telia Kontantkort";"Nej";" "
"BLACK DIAMOND TATTOO, AB";"5568810153";" 0725376952";"Jobbmobil Bas 0.5 GB";"Nej";" "
"ASPLUNDS PUMP OCH MÄTARSERVICE";"5561530329";" 0706988747";"Jobbmobil Multi 120 GB MFA";"Ja";"20211103"
"ASPLUNDS PUMP OCH MÄTARSERVICE";"5561530329";" 0706988747";"Jobbmobil Multi 120 GB MFA";"Ja";"20211103"
"ASPLUNDS PUMP OCH MÄTARSERVICE";"5561530329";" 0706988747";"Jobbmobil Multi 120 GB MFA";"Ja";"20211103"
"JPG-KONSULT, AB";"5590272174";" 0706716185";"Jobbmobil 25 GB Osub";"Ja";"20201216"
"PAJALA FÖRETAGSHÄLSOVÅRDSCENTRAL, AB";"5562517762";" 0722070929";"Jobbmobil Multi 30 GB Osub";"Ja";"20211105"
"PAJALA FÖRETAGSHÄLSOVÅRDSCENTRAL, AB";"5562517762";" 0722070929";"Jobbmobil Multi 30 GB Osub";"Ja";"20211105"
"SOLGÅRDEN ANTIK & MÅLERI, AB";"5568966831";" 0709992788";"Jobbmobil Multi 30 GB MFA";"Ja";"20201221"
"TRÄTEKNIK PAULI LYYTINEN, AB";"5562902485";" 0730962834";"Extrakort Fast";"Nej";" "
"TRÄTEKNIK PAULI LYYTINEN, AB";"5562902485";" 0705236507";"Jobbmobil Multi 10 GB Osub";"Nej";" "
"VÄRÖ MÅLERI & LACKSERVICE, AB";"5563609352";" 0738454415";"Jobbmobil Multi 20 GB TFA";"Ja";"20221127"
"VÄRÖ MÅLERI & LACKSERVICE, AB";"5563609352";" 0738454106";"Jobbmobil Multi 20 GB TFA";"Ja";"20221127"
"VÄRÖ MÅLERI & LACKSERVICE, AB";"5563609352";" 0738454118";"Jobbmobil Multi 20 GB TFA";"Ja";"20221127"
"CAELI CONTROL,, AB";"5591779771";" 0703339244";"Jobbmobil Obegränsad";"Ja";"20231124"
"SMÅLANDSVIRKE, AB";"5561794693";" 0705876055";"Mobil 12 GB";"Nej";" "
"FRISÖR JENNI K, AB";"5568690142";" 0706357606";"Telia Jobbmobil Multi 30 GB";"Ja";"20210731"
"DIGITAL MEDIA DESIGN I KARLSTAD, AB";"5561939058";" 0701821101";"Jobbmobil Multi 30 GB MFA";"Ja";"20210713"
"DIGITAL MEDIA DESIGN I KARLSTAD, AB";"5561939058";" 0737356661";"Jobbmobil Multi 10 GB MFA";"Ja";"20220202"
"DIGITAL MEDIA DESIGN I KARLSTAD, AB";"5561939058";" 0738854111";"Jobbmobil Multi 60 GB MFA";"Ja";"20210719"
"DIGITAL MEDIA DESIGN I KARLSTAD, AB";"5561939058";" 0701821101";"Jobbmobil Multi 30 GB MFA";"Ja";"20210713"
"DIGITAL MEDIA DESIGN I KARLSTAD, AB";"5561939058";" 0701821101";"Jobbmobil Multi 30 GB MFA";"Ja";"20210713"
"DIGITAL MEDIA DESIGN I KARLSTAD, AB";"5561939058";" 0737356661";"Jobbmobil Multi 10 GB MFA";"Ja";"20220202"
"INPARTNER UTBILDNING, AB";"5568818156";" 0761033032";"Jobbmobil Multi 10 GB MFA";"Nej";" "
"INPARTNER UTBILDNING, AB";"5568818156";" 0761033032";"Jobbmobil Multi 10 GB MFA";"Nej";" "
"LUREBO, AB";"5569242208";" 0706945588";"Jobbmobil 40 GB Osub";"Ja";"20201211"
"MK-FODER, AB";"5562487008";" 0706040079";"Mobitel";"Nej";" "
"NORELLS MARIN OCH MEKANISKA, AB";"5562096577";" 0706070643";"Jobbmobil Multi 2 GB MFA";"Ja";"20211227"
"PUPPE RÅDGIVNING, AB";"5569512360";" 0706330541";"Jobbmobil Multi 30 GB Osub";"Ja";"20210116"
"RIESBECK REKLAM, AB";"5566548086";" 0705879017";"Jobbmobil Multi 20 GB TFA";"Ja";"20211210"
"RIESBECK REKLAM, AB";"5566548086";" 0705879017";"Jobbmobil Multi 20 GB TFA";"Ja";"20211210"
"SPARRINOVA, AB";"5564558657";" 0709905129";"Jobbmobil Multi 30 GB MFA";"Ja";"20220325"
"SPARRINOVA, AB";"5564558657";" 0709905129";"Jobbmobil Multi 30 GB MFA";"Ja";"20220325"
"SAMUEL FORSLUND KONSULT, AB";"5590066345";" 0722482311";"Telia Jobbmobil Multi 10 GB";"Ja";"20210415"
"SHINY HAPPY PEOPLE AD AGENCY, AB";"5567878722";" 0709569594";"Jobbmobil Multi 30 GB Osub";"Ja";"20210528"
"STRÄNG FINANS, AB";"5569818247";" 0730926639";"Telia Kontantkort";"Nej";" "
"STRÄNG FINANS, AB";"5569818247";" 0725707157";"Jobbmobil Obegränsad Osub";"Ja";"20211120"
"UNO WALLGREN, AB";"5566398474";" 0705351260";"Telia Jobbmobil Multi 2 GB";"Nej";" "
"UNO WALLGREN, AB";"5566398474";" 0703803884";"Extrakort Fast";"Nej";" "
"ALC ARBETSLIVSTJÄNSTER, AB";"5567260186";" 0768383200";"Jobbmobil Multi 30 GB MFA";"Ja";"20210116"
"ALC ARBETSLIVSTJÄNSTER, AB";"5567260186";" 0768383200";"Jobbmobil Multi 30 GB MFA";"Ja";"20210116"
"AFFIXUS, AB";"5564837192";" 0706681429";"Jobbmobil Multi 30 GB MFA";"Nej";" "
"AFFIXUS, AB";"5564837192";" 0722330068";"Jobbmobil Multi 30 GB MFA";"Nej";" "
"AFFIXUS, AB";"5564837192";" 0706681429";"Jobbmobil Multi 30 GB MFA";"Nej";" "
"CH FRYKLUND CONSULTING, AB";"5568559388";" 0706757716";"Jobbmobil Multi 30 GB MFA";"Ja";"20210812"
"CABLO REDOVISNING, AB";"5568294176";" 0722106592";"Telia Kontantkort";"Nej";" "
"CLIMB ACCESS, AB";"5590650148";" 0722585231";"Telia Jobbmobil Multi 120 GB";"Nej";" "
"COALESCE WELDING I SUNNE, AB";"5591371728";" 0738321135";"Jobbmobil Obegränsad Osub";"Ja";"20211101"
"GM TRADING OCH SERVICE, AB";"5591112296";" 0761394872";"Telia Jobbmobil Multi 30 GB";"Ja";"20210913"
"GM TRADING OCH SERVICE, AB";"5591112296";" 0761394738";"Telia Jobbmobil Multi 30 GB";"Ja";"20210913"
"GM TRADING OCH SERVICE, AB";"5591112296";" 0761394742";"Telia Jobbmobil Multi 30 GB";"Ja";"20210913"
"GM TRADING OCH SERVICE, AB";"5591112296";" 0761394746";"Telia Jobbmobil Multi 30 GB";"Ja";"20210708"
"HAGÅRDS LAGÅRD, AB";"5590090121";" 0730751014";"Jobbmobil Obegränsad MFA";"Ja";"20231127"
"PUFFEN ASSISTANS I OCKELBO, AB";"5566188578";" 0706544015";"Jobbmobil Multi 30 GB MFA";"Ja";"20210925"
"PUFFEN ASSISTANS I OCKELBO, AB";"5566188578";" 0706229979";"Jobbmobil Multi 30 GB MFA";"Ja";"20210925"
"PUFFEN ASSISTANS I OCKELBO, AB";"5566188578";" 0706544015";"Jobbmobil Multi 30 GB MFA";"Ja";"20210925"
"PUFFEN ASSISTANS I OCKELBO, AB";"5566188578";" 0706229979";"Jobbmobil Multi 30 GB MFA";"Ja";"20210925"
"Q-LINEA, AB";"5567290217";" 0706101404";"Jobbmobil Multi 10 GB MFAOsub";"Ja";"20220210"
"Q-LINEA, AB";"5567290217";" 0738444074";"Jobbmobil Multi 10 GB MFAOsub";"Ja";"20221202"
"Q-LINEA, AB";"5567290217";" 0703377054";"Jobbmobil Multi 10 GB MFAOsub";"Ja";"20221002"
"Q-LINEA, AB";"5567290217";" 0730540081";"Jobbmobil Multi 10 GB MFAOsub";"Ja";"20220701"
"Q-LINEA, AB";"5567290217";" 0730408137";"Jobbmobil Multi 10 GB MFAOsub";"Ja";"20220529"
"Q-LINEA, AB";"5567290217";" 0702393789";"Jobbmobil Multi 10 GB MFAOsub";"Ja";"20220731"
"Q-LINEA, AB";"5567290217";" 0730575017";"Jobbmobil Multi 10 GB MFAOsub";"Ja";"20220803"
"Q-LINEA, AB";"5567290217";" 0730288314";"Jobbmobil Multi 10 GB MFAOsub";"Ja";"20220518"
"Q-LINEA, AB";"5567290217";" 0738429223";"Jobbmobil Multi 10 GB MFAOsub";"Ja";"20220529"
"R.H.K ENTREPRENAD, AB";"5591216550";" 0706803202";"Telia Jobbmobil Multi 30 GB";"Ja";"20210908"
"HAIR BY HELENA, AB";"5569123663";" 0703959183";"Jobbmobil Multi 30 GB MFA";"Ja";"20210110"
"ÅKE BYLOWS SKOGSAVVERKN AB";"5562973635";" 0702030664";"Jobbmobil Multi 10 GB MFAOsub";"Ja";"20210515"
"ADVOKATBYRÅN SIMONSSON, AB";"5569764565";" 0703815188";"Jobbmobil Multi 10 GB MFA";"Ja";"20221106"
"VIGLET,, AB";"5591726889";" 0705488492";"Telia Jobbmobil Multi 30 GB";"Ja";"20210408"
"BERGFOTEN FÖRVALTNING, AB";"5569587099";" 0707135959";"Jobbmobil Multi 30 GB MFA";"Nej";" "
"EFFEKTOPTIMERING STOCKHOLM, AB";"5591583330";" 0704500547";"OE Partner Obegränsad Osub";"Ja";"20230820"
"ERIC EDLUND CONSULTING, AB";"5591150239";" 0708166182";"Telia Jobbmobil Multi 60 GB";"Nej";" "
"GRÄSÖRÄVARNA, AB";"5566582390";" 0722020772";"Jobbmobil Multi 10 GB MFA";"Ja";"20220217"
"GRÄSÖRÄVARNA, AB";"5566582390";" 0738056721";"Jobbmobil Multi 30 GB MFA";"Ja";"20211118"
"GRÄSÖRÄVARNA, AB";"5566582390";" 0706696381";"Jobbmobil Obegränsad MFA";"Ja";"20220514"
"GRÄSÖRÄVARNA, AB";"5566582390";" 0722020772";"Jobbmobil Multi 10 GB MFA";"Ja";"20220217"
"GÖRAN THOR ENTREPRENAD, AB";"5567143192";" 0702303880";"Jobbmobil Multi 1 GB MFA Osub";"Ja";"20210506"
"GÖRAN THOR ENTREPRENAD, AB";"5567143192";" 0706075171";"Jobbmobil Bas MFA";"Nej";" "
"H-P HOKEY-POKEY HOLDING, AB";"5569384570";" 0705538444";"Telia Jobbmobil Multi 30 GB";"Nej";" "
"H-P HOKEY-POKEY HOLDING, AB";"5569384570";" 0705985036";"Telia Jobbmobil Multi 30 GB";"Nej";" "
"H-P HOKEY-POKEY HOLDING, AB";"5569384570";" 0705538474";"Telia Jobbmobil Multi 30 GB";"Nej";" "
"H-P HOKEY-POKEY HOLDING, AB";"5569384570";" 0705845389";"Telia Jobbmobil Bas";"Nej";" "
"JCM EKONOMIKONSULT, AB";"5590254651";" 0701154170";"Jobbmobil Multi 2 GB Osub";"Ja";"20210516"
"JCM EKONOMIKONSULT, AB";"5590254651";" 0701154170";"Jobbmobil Multi 2 GB Osub";"Ja";"20210516"
"JLE PROCESSRÖR, AB";"5568060056";" 0702204479";"Jobbmobil Multi 30 GB MFA";"Nej";" "
"KÖHLERS RÖR, AB";"5590384342";" 0706918899";"Jobbmobil Multi 30 GB Osub";"Ja";"20211120"
"LUNDEVALL ENTREPRENAD, AB";"5565044756";" 0705466562";"Jobbmobil Obegränsad MFA";"Ja";"20221116"
"LUNDEVALL ENTREPRENAD, AB";"5565044756";" 0705466672";"Jobbmobil Obegränsad MFA";"Ja";"20221116"
"MEABONA, AB";"5567322614";" 0703071411";"Jobbmobil Obegränsad";"Ja";"20211017"
"NYLUND EXPRESS TRANSPORT, AB";"5590458708";" 0727338333";"Jobbmobil 40 GB";"Ja";"20231009"
"NYLUND EXPRESS TRANSPORT, AB";"5590458708";" 0727338333";"Jobbmobil 40 GB";"Ja";"20231009"
"NÄRINGSLIVETS MARKNADSUTVECKLING, NMU AB";"5565797213";" 0706030900";"Jobbmobil Multi 10 GB Osub";"Ja";"20211021"
"NÄRINGSLIVETS MARKNADSUTVECKLING, NMU AB";"5565797213";" 0706030900";"Jobbmobil Multi 10 GB Osub";"Ja";"20211021"
"SEF MEDICAL, AB";"5568705080";" 0702164067";"Telia Jobbmobil Multi 30 GB";"Ja";"20211004"
"SJÖGRENS ELEMENTMONTERING, AB";"5568276488";" 0768333700";"Jobbmobil Multi 30 GB MFA Osub";"Ja";"20210527"
"SJÖGRENS ELEMENTMONTERING, AB";"5568276488";" 0702606864";"Jobbmobil Multi 30 GB MFA";"Ja";"20210815"
"SOFIA BERGSTRÖM, AB";"5590247168";" 0730208229";"Jobbmobil Obegränsad";"Ja";"20220324"
"WOODENSTREET HOLDING & CONSULTING, AB";"5591295448";" 0702602246";"Telia Jobbmobil Multi 30 GB";"Ja";"20210810"
"ADVOKAT PETER GUSTAFSSON, AB";"5566696380";" 0705414882";"Telia Jobbmobil Multi 30 GB";"Ja";"20220320"
"BROSTIGEN FÖRVALTNINGS, AB";"5564171352";" 0706899086";"Jobbmobil Multi 1 GB";"Nej";" "
"BROSTIGEN FÖRVALTNINGS, AB";"5564171352";" 0706901030";"Jobbmobil Multi 5 GB";"Nej";" "
"BROSTIGEN FÖRVALTNINGS, AB";"5564171352";" 0709300498";"Jobbmobil Multi 5 GB";"Nej";" "
"BROSTIGEN FÖRVALTNINGS, AB";"5564171352";" 0705473518";"Jobbmobil Multi 1 GB";"Nej";" "
"FAGERÄNGS SNICKERI, AB";"5569917130";" 0708140288";"Jobbmobil Multi 10 GB Osub";"Ja";"20220127"
"MÅLERIFIRMAN HOLMEN, AB";"5567891790";" 0730746206";"Jobbmobil Multi 10 GB MFA";"Ja";"20220304"
"MÅLERIFIRMAN HOLMEN, AB";"5567891790";" 0704197785";"Jobbmobil Multi 10 GB MFA";"Ja";"20221111"
"UPPKÖPET I STOCKHOLM, AB";"5562611748";" 0730776824";"Jobbmobil Multi 30 GB MFA";"Ja";"20221127"
"UPPKÖPET I STOCKHOLM, AB";"5562611748";" 0708330525";"Jobbmobil Multi 10 GB MFA";"Ja";"20220311"
"WESTIN AKUSTIK, AB";"5564929544";" 0705730110";"Jobbmobil Multi 30 GB MFA Osub";"Ja";"20220721"
"WESTIN AKUSTIK, AB";"5564929544";" 0705730110";"Jobbmobil Multi 30 GB MFA Osub";"Ja";"20220721"
"BRÖDERNA DANIELSSONS BYGG, AB";"5567125686";" 0708679205";"Jobbmobil Multi 10 GB MFA";"Ja";"20220320"
"ELTREAN, AB";"5565882338";" 0761046060";"Telia Jobbmobil Multi 30 GB";"Nej";" "
"FIRRES EL & BYGG SERVICE, AB";"5568237365";" 0737742892";"Jobbmobil Multi 120 GB MFA";"Ja";"20211119"
"FLAGGEN HÄLSOKOST I BLEKINGE, AB";"5564768090";" 0760254370";"Telia Jobbmobil Multi 60 GB";"Nej";" "
"KENNETH TÖRNQVIST MÅLERI, AB";"5562527803";" 0705186264";"Jobbmobil Multi 100 GB TFA";"Nej";" "
"KENNETH TÖRNQVIST MÅLERI, AB";"5562527803";" 0705186264";"Jobbmobil Multi 100 GB TFA";"Nej";" "
"KILSBERGENS BYGG, AB";"5569324667";" 0707494551";"Telia Jobbmobil Multi 30 GB";"Ja";"20210719"
"KILSBERGENS BYGG, AB";"5569324667";" 0707494551";"Telia Jobbmobil Multi 30 GB";"Ja";"20210719"
"SAIL POOL SWEDEN, AB";"5568067150";" 0708748980";"Jobbmobil Obegränsad";"Ja";"20221103"
"THONA KONSULT, AB";"5591080287";" 0707350688";"Jobbmobil Multi 10 GB MFA";"Ja";"20210921"
"THONA KONSULT, AB";"5591080287";" 0704418329";"Jobbmobil Multi 10 GB MFAOsub";"Ja";"20220119"
"WALLER STERNER & PARTNERS, AB";"5567522015";" 0767669067";"Jobbmobil Multi 30 GB MFA Osub";"Ja";"20220218"
"M. LINDKVIST RÖR, AB";"5561091827";" 0703316057";"Jobbmobil Multi 30 GB MFA";"Nej";" "
"M. LINDKVIST RÖR, AB";"5561091827";" 0703316057";"Jobbmobil Multi 30 GB MFA";"Nej";" "
"BALD ENGINEERING, AB";"5590839774";" 0767639467";"Telia Kontantkort";"Nej";" "
"BJÄSTA AFFÄRSBYRÅ, AB";"5560571936";" 0703305096";"Jobbmobil Multi 10 GB MFA";"Ja";"20220124"
"CARODENT, AB";"5591076780";" 0708257507";"Telia Jobbmobil Multi 10 GB";"Nej";" "
"EKONOMITJÄNST I ÄLVSBYN, AB";"5568971765";" 0702728731";"Telia Jobbmobil Multi 10 GB";"Ja";"20210207"
"HELENAS GARDINERIA, AB";"5562741156";" 0735079990";"Jobbmobil 15 GB";"Ja";"20220614"
"I.K.G CARE & ASSISTANCE, AB";"5568561632";" 0738013582";"Jobbmobil 5 GB Osub";"Ja";"20220725"
"IT PARTNER WALLNER, AB";"5565732723";" 0705673863";"Jobbmobil Obegränsad";"Ja";"20220221"
"LINDGREN GOLV & KAKEL, AB";"5569347189";" 0702667807";"Telia Jobbmobil Multi 30 GB";"Ja";"20210326"
"LEIF HELLSTRÖMS BYGG & INREDNINGAR, AB";"5564266608";" 0705104228";"Jobbmobil Multi 20 GB TFA";"Ja";"20210321"
"M GRÖNLUND IT-KONSULT, AB";"5590807656";" 0733718884";"Telia Jobbmobil Multi 30 GB";"Ja";"20210511"
"STRÅTJÄRA DÄCKSERVICE, AB";"5590978408";" 0731838080";"Telia Kontantkort";"Nej";" "
"TURKI GÅRD, AB";"5590421367";" 0706041797";"Telia Jobbmobil Multi 120 GB";"Nej";" "
"VERKSAMHETS - & EKONOMISERVICE I UMEÅ AB";"5591524896";" 0702341134";"Telia Jobbmobil Multi 10 GB";"Ja";"20210107"
"MH MÄKLARSERVICE, AB";"5566169719";" 0708881958";"Jobbmobil 40 GB MFA";"Ja";"20220709"
"ÖREBRO-VÄSTMANLANDS ARKIV, AB";"5569976466";" 0704411339";"Telia Jobbmobil Multi 30 GB";"Ja";"20210227"
"ARTICARE, AB";"5568585623";" 0702054516";"Jobbmobil Multi 30 GB MFA";"Ja";"20220705"
"ARTICARE, AB";"5568585623";" 0707532010";"Jobbmobil Bas MFA";"Ja";"20211018"
"ARTICARE, AB";"5568585623";" 0734410379";"Jobbmobil Bas MFA";"Ja";"20221027"
"ARTICARE, AB";"5568585623";" 0734410380";"Jobbmobil Bas MFA";"Ja";"20221027"
"ETM KYLTEKNIK, AB";"5565630828";" 0704102940";"Jobbmobil Multi 5 GB MFA Osub";"Ja";"20210111"
"F S Mekaniska i Alvesta, AB";"5563459402";" 0708838459";"Jobbmobil Multi 50 GB TFA";"Ja";"20201227"
"STOCKMAN ARKITEKTER, AB";"5567144703";" 0739867950";"Jobbmobil 3 GB Osub MFA";"Ja";"20221005"
"STOCKVIKS MÅLERI, AB";"5591989859";" 0706601217";"Jobbmobil Obegränsad MFA";"Ja";"20210519"
"SÖGÅRD FASTIGHETER, AB";"5569037608";" 0706209267";"Jobbmobil Multi 30 GB MFA";"Ja";"20220918"
"SÖGÅRD FASTIGHETER, AB";"5569037608";" 0703590524";"Jobbmobil Multi 10 GB MFA";"Nej";" "
"SÖGÅRD FASTIGHETER, AB";"5569037608";" 0706209840";"Jobbmobil Obegränsad MFA";"Ja";"20221016"
"BLUELEVEN PHARMA I HALMSTAD, AB";"5591256564";" 0706742533";"Telia Jobbmobil Multi 30 GB";"Nej";" "
"BLUELEVEN PHARMA I HALMSTAD, AB";"5591256564";" 0707487153";"Telia Jobbmobil Multi 30 GB";"Nej";" "
"BOIX-VIVES MUSIC PRODUCTION, AB";"5565445391";" 0707435000";"Jobbmobil Multi 10 GB Osub";"Ja";"20211125"
"BRODDETORP VIND, AB";"5566241120";" 0727399161";"Telia Jobbmobil Mix 120924";"Nej";" "
"BRODDETORP VIND, AB";"5566241120";" 0727399161";"Telia Jobbmobil Mix 120924";"Nej";" "
"FOTOGRAF SUSSI, AB";"5590087820";" 0709647323";"Jobbmobil Multi 30 GB MFA";"Nej";" "
"JINNESTÅL FÖRVALTNINGS, AB";"5564983699";" 0708561170";"Telia Jobbmobil Bas";"Nej";" "
"JINNESTÅL FÖRVALTNINGS, AB";"5564983699";" 0708561170";"Telia Jobbmobil Bas";"Nej";" "
"LJUSDALS FASTIGHETSFÖRVALTNING, AB";"5565252052";" 0706239280";"Telia Kontantkort";"Nej";" "
"LAST & BILLACKERING I GUSUM, AB";"5566086020";" 0705717286";"Jobbmobil Multi 30 GB MFA";"Ja";"20220519"
"LAST & BILLACKERING I GUSUM, AB";"5566086020";" 0705747286";"Jobbmobil Multi 60 GB MFA";"Nej";" "
"LISELLE, AB";"5591076335";" 0725101062";"Jobbmobil Multi 30 GB MFA";"Nej";" "
"LISELLE, AB";"5591076335";" 0725101064";"Jobbmobil Multi 30 GB MFA";"Ja";"20210814"
"LÖVSTA SKOG, AB";"5590406434";" 0705828041";"Telia Jobbmobil Multi 10 GB";"Ja";"20220302"
"NORELLS I HEDEMORA, AB";"5563712008";" 0706333851";"Jobbmobil Multi 30 GB MFA";"Ja";"20210206"
"OPEM-KONSULT, AB";"5563098754";" 0705130970";"Jobbmobil Multi 10 GB MFA";"Ja";"20210904"
"OPEM-KONSULT, AB";"5563098754";" 0730840956";"Jobbmobil Multi 120 GB MFA";"Ja";"20220611"
"OPEM-KONSULT, AB";"5563098754";" 0730713907";"Jobbmobil Multi 120 GB MFA";"Ja";"20220611"
"ORSA LASHING, AB";"5590532262";" 0705908003";"Jobbmobil Multi 5 GB TFA";"Nej";" "
"SARGAS MILJÖ OCH INDUSTRISERVICE, AB";"5564083730";" 0705912812";"Jobbmobil Obegränsad Osub";"Ja";"20220130"
"SARGAS MILJÖ OCH INDUSTRISERVICE, AB";"5564083730";" 0705379311";"Jobbmobil 3 GB Osub";"Ja";"20221019"
"SWEDISH CAR EDUCATION, AB";"5568225352";" 0705400949";"Jobbmobil Multi 10 GB MFA";"Ja";"20211030"
"ULLA HOPPE PSYKOTERAPI, AB";"5565539433";" 0705527265";"Jobbmobil Multi 30 GB MFA";"Ja";"20220926"
"VIRVING CONSULTING, AB";"5592021033";" 0703057840";"Jobbmobil 15 GB";"Ja";"20230817"
"BENGTSFORS EKONOMI & KONSULT, AB";"5562408087";" 0706638185";"Jobbmobil Multi 30 GB MFA";"Nej";" "
"BENGTSFORS EKONOMI & KONSULT, AB";"5562408087";" 0702010018";"Jobbmobil Multi 10 GB MFAOsub";"Ja";"20221103"
"BENGTSFORS EKONOMI & KONSULT, AB";"5562408087";" 0706556240";"Jobbmobil Multi 10 GB MFAOsub";"Ja";"20221103"
"GS TRAINING QINOPRACTIC & REHAB, AB";"5590310594";" 0705609257";"Telia Jobbmobil Multi 30 GB";"Ja";"20210420"
"HW ENTREPRENAD, AB";"5569138489";" 0735304796";"Jobbmobil 40 GB MFA";"Ja";"20221129"
"KANALLT I TRANÅS, AB";"5590447479";" 0708750919";"Telia Jobbmobil Multi 10 GB";"Nej";" "
"L.W. DISTRIBUTION, AB";"5560632464";" 0705408080";"Jobbmobil 15 GB";"Ja";"20220905"
"L.W. DISTRIBUTION, AB";"5560632464";" 0703219670";"Telia Kontantkort";"Nej";" "
"L.W. DISTRIBUTION, AB";"5560632464";" 0705408080";"Jobbmobil 15 GB";"Ja";"20220905"
"MH PLÅT & BYGG, AB";"5568103815";" 0709241701";"Telia Jobbmobil Multi 30 GB";"Nej";" "
